pilot_id,source_audit,reliability_type,kappa,Company Name,Year,Sentence,ESG_dim,FinBERT_sentiment,Corporate_or_Contextual,Genuine_ESG_or_FalsePositive,E_label_correct,Confidence,Notes
audit1_trigger_word_000,audit1_trigger_word,blind_independent,0.645,Travelers,2022,THE TRAVELERS PROMISE IN ACTION Travelers' sustainability – our ability to maintain our industry-leading position and maximize shareholder value over the long term – depends on the successful execution of our financial strategy as described above.,E,positive,Corporate,FalsePositive,No,High,The sentence explicitly defines sustainability in terms of maintaining market position and maximizing long-term shareholder value; the underlying claim is therefore financial rather than ESG-related.
audit1_trigger_word_001,audit1_trigger_word,blind_independent,0.645,MSAD,2023,"By providing products and services that address new risks, we will contribute to realizing a safe and secure society.",S,positive,Corporate,Genuine,,Medium,The sentence makes an explicit social-purpose claim by linking the firm's products and services to a safe and secure society. The claim is genuine but broad and non-specific (Tier 3).
audit1_trigger_word_002,audit1_trigger_word,blind_independent,0.645,Tokio Marine,2016,I feel like we have entered the second phase of our globalization and from now we must work to further build on the steps taken so far to ensure that we continue on our journey to be a “Good Company” that plays a vital role for our clients and society.,S,positive,Corporate,Genuine,,Low,"The sentence deliberately frames society, alongside clients, as a beneficiary of the firm's aspiration to be a 'Good Company.' The social reference is therefore part of the intended meaning rather than an incidental trigger-word match. The claim remains broad and non-specific, which supports Low confidence."
audit1_trigger_word_003,audit1_trigger_word,blind_independent,0.645,AIG,2019,We appointed AIG’s first Chief Sustainability Officer to lead the development of a company-wide sustainability strategy and program.,E/S,neutral,Corporate,Genuine,Yes,High,Concrete governance action: the firm appointed a Chief Sustainability Officer to lead a company-wide sustainability strategy and program.
audit1_trigger_word_004,audit1_trigger_word,blind_independent,0.645,Allstate,2016,"Building Integrated Relationships Integrated relationships with customers improve growth and returns, and create a more sustainable business model.",E/S,positive,Corporate,FalsePositive,No,High,"The phrase 'sustainable business model' refers to long-term commercial durability and profitability; the sentence focuses on customer relationships, growth, and returns rather than ESG."
audit1_trigger_word_005,audit1_trigger_word,blind_independent,0.645,AXA,2021,His convictions on the role of our industry in society have been a strength in developing our ESG commitments and bringing our purpose to life.,E/S/G,positive,Corporate,Genuine,Yes,Medium,"The sentence explicitly refers to the firm's ESG commitments, making the ESG framing intentional rather than incidental."
audit1_trigger_word_006,audit1_trigger_word,blind_independent,0.645,PIC,2016,"Thirdly, it will deeply advance innovation and development and establish the decision-making mechanism, talents mechanism, and incentive mechanism for innovation and strengthen the momentum of the Group for sustainable development.",E/S,positive,Corporate,FalsePositive,No,Medium,"The sentence focuses on innovation, talent, and incentive mechanisms; 'sustainable development' is used in the sense of continued long-term corporate development rather than a specific ESG objective."
audit1_trigger_word_007,audit1_trigger_word,blind_independent,0.645,Tokio Marine,2018,"With this purpose in mind, our principal focus is on meeting the expectations of cus- tomers and society, therefore success is a result that follows.",S,positive,Corporate,Genuine,,Low,"The sentence explicitly identifies society, alongside customers, as a stakeholder whose expectations the firm seeks to meet. This is an intentional social-stakeholder framing rather than a non-ESG use of the trigger word, although no specific societal issue, action, or outcome is identified; therefore confidence remains Low."
audit1_trigger_word_008,audit1_trigger_word,blind_independent,0.645,Generali,2021,Any important crisis is followed by the opportunity to plan for recovery with a focus on sustainability.,E/S,neutral,Corporate,Genuine,Yes,Low,"Borderline: sustainability is explicitly invoked in the context of post-crisis recovery, but the sentence does not identify a specific environmental or social dimension."
audit1_trigger_word_009,audit1_trigger_word,blind_independent,0.645,Zurich,2014,We are working to increase flood resilience in at-risk communities through our innovative flood resilience alliance.,E,positive,Corporate,Genuine,Yes,High,Concrete environmental/social initiative: the firm refers to a named flood-resilience alliance aimed at increasing resilience in at-risk communities.
audit1_trigger_word_010,audit1_trigger_word,blind_independent,0.645,Allianz,2022,"− Because of our rigorous and systematic integration of sustainability criteria into our business processes and investment decisions, we achieved one of the industry leading scores in the S&P Global Corporate Sustainability Assessment and have been confirmed once again as a member of the Dow Jones Sustainability Index.",E/S,positive,Corporate,Genuine,Yes,High,Explicit ESG evidence: sustainability criteria are integrated into business and investment decisions and linked to external sustainability benchmarks (S&P Global CSA and DJSI membership).
audit1_trigger_word_011,audit1_trigger_word,blind_independent,0.645,Generali,2022,"Through the Next Generation EU recovery plan, Europe managed to redefine a single vision that had long been lacking and that is now finally directed towards sustainable development and digital transformation.",E,positive,Contextual,Genuine,Yes,Medium,The reference to sustainable development is genuine but contextual: it describes the direction of the EU recovery plan rather than the firm's own ESG activity.
audit1_trigger_word_012,audit1_trigger_word,blind_independent,0.645,Swiss RE,2022,"Our industry now finds itself at a turning point, as we are experiencing a return to an environment characterised by more sustainable pricing.",E/S,positive,Corporate,FalsePositive,No,High,"The phrase 'sustainable pricing' is used in an underwriting-cycle sense, referring to economically adequate pricing rather than environmental or social sustainability."
audit1_trigger_word_013,audit1_trigger_word,blind_independent,0.645,MSAD,2018,"Therefore, in order to advance value sharing with various stakeholders, we have incorporated SDGs as our milestones with which to align the Group’s business.",E/S,positive,Corporate,Genuine,,High,Concrete ESG framework adoption: the firm states that the SDGs were incorporated as milestones for aligning the Group's business with stakeholder value creation.
audit1_trigger_word_014,audit1_trigger_word,blind_independent,0.645,Tokio Marine,2023,It could be said that all of our business activities contribute to addressing societal challenges.,S,neutral,Corporate,Genuine,,Medium,"The sentence makes an intentional social-purpose claim by linking the firm's activities to societal challenges, but the claim is highly general and non-specific (Tier 3)."
audit1_trigger_word_015,audit1_trigger_word,blind_independent,0.645,Zurich,2022,We are growing our range of sustainable products and services to help customers make choices that benefit people and planet.,E/S,positive,Corporate,Genuine,Yes,High,Explicit environmental/social content: the firm describes expanding sustainable products and services intended to benefit both people and the planet.
audit1_trigger_word_016,audit1_trigger_word,blind_independent,0.645,Tokio Marine,2022,"Even before “ESG” existed as a concept, our Group’s reason for existence has been to achieve sustainable growth through contributing to the resolution of social issues.",E/S/G,neutral,Corporate,Genuine,No,Medium,"The sentence explicitly invokes the ESG concept and links sustainable growth to addressing social issues, indicating intentional ESG framing."
audit1_trigger_word_017,audit1_trigger_word,blind_independent,0.645,Allianz,2023,"However, our efforts to ensure resilience and to protect what is most valuable to our customers exceed our organization and touch on society at large.",S,negative,Corporate,Genuine,,Low,"The sentence states that the firm's resilience and protection efforts extend beyond the organization and its customers to society at large. This is a deliberate claim of broader societal impact, not a semantic false positive, although the impact is not specified in concrete terms; therefore confidence remains Low."
audit1_trigger_word_018,audit1_trigger_word,blind_independent,0.645,Tokio Marine,2020,"Implementing these will not only achieve our current Mid-term Plan KPI targets, but also enhance our ability to address social issues, with a view towards sustainable long-term growth.",S,positive,Corporate,Genuine,,Medium,"The sentence explicitly refers to addressing social issues, linking this objective to the firm's mid-term plan and long-term growth; the social dimension is therefore substantive."
audit1_trigger_word_019,audit1_trigger_word,blind_independent,0.645,China Life,2023,"Meanwhile, we actively performed our roles as the main force for serving the real economy and maintaining financial stability, and realigned the direction of capital investment, with our existing investments in real economy and in green investments amounted to over RMB4 trillion and RMB460 billion, respectively.",E,positive,Corporate,Genuine,Yes,High,"Concrete environmental evidence: the sentence reports RMB 460 billion in green investments, providing a quantified sustainability-related measure."
audit1_trigger_word_020,audit1_trigger_word,blind_independent,0.645,Chubb,2022,"Set against a backdrop of societal attitudes around social justice, anti-corporate sentiment and juries sympathetic to “victims,” plaintiff attorneys drive up litigationrelated costs by testing exaggerated theories of liability and corporate responsibility.",S,negative,Contextual,FalsePositive,,High,The term 'societal' describes attitudes affecting litigation behavior and costs; the sentence concerns social inflation and liability exposure rather than the firm's ESG activities.
audit1_trigger_word_021,audit1_trigger_word,blind_independent,0.645,Sompo,2023,We will also contribute to a future society where everyone can receive nursing care when needed.,S,neutral,Corporate,Genuine,,Medium,The sentence contains a clear social objective: contributing to a society in which people can access nursing care when needed.
audit1_trigger_word_022,audit1_trigger_word,blind_independent,0.645,Sompo,2019,Our goal is to help build a society in which “no one will be left behind” and whose members are able to delay the onset or development of dementia and live with dignity if they develop the condition.,S,neutral,Corporate,Genuine,,High,"The sentence states a specific social objective involving dementia prevention, dignity, and inclusion ('no one will be left behind')."
