Company Name,Year,Text,Region,Timestamp
AIG,2015,"Dear Colleagues,
The past year has been one of focus and change for AIG. We have
taken steps toward transforming the company, steps that will make us
leaner, more proftable, and better able to help our clients manage
the complex risks they face in a world of technological disruption,
economic upheaval, and political volatility.
through improving our own energy effciency or investing in renew-
able energies. Our involvement in microinsurance and our founder
membership of the Together for Safer Roads Coalition are further
examples of the different ways that AIG contributes to the wider
social good.
Even as we adapt and change, however, one thing remains constant:
AIG’s commitment to being an outstanding and responsible corpo-
rate citizen. That sense of purpose infuses our Vision, Mission, and
Values as a company, and informs everything we do from day to day.
Finally, being a good corporate citizen means taking care of
the people who work for AIG in over 80 countries across the
globe. In the pages that follow, you will learn about the efforts we
make to foster a diverse, inclusive culture within AIG, and about the
various programs we have in place to promote employee wellness
and work-life balance. The report highlights the impressive work of
our various Employee Resource Groups, which represent the vibrantly
diverse culture of AIG. That culture not only makes AIG a truly
empowering place to work, but also brings us closer to our clients in
the global marketplace.
Living up to our responsibility as a good corporate citizen means
making a positive contribution to the communities in which AIG
has a business presence. This report illustrates the powerful impact
we had in 2015 through our employee volunteer programs and
philanthropy. Throughout the year, 5,200 AIG colleagues from nearly
40 countries served more than 57,000 hours on over 330 community
projects. That energy and commitment was very evident in the amaz-
ing work that AIG teams did supporting communities devastated by
natural disasters. Just as we are there for our insurance clients when
they need us – paying $130 million in claims every day – so we are
there when our communities need help.
Throughout our more than 95-year history, AIG has aspired to be
both a leader in the insurance industry and a responsible corporate
citizen. As this report shows, today that aspiration remains central to
our Vision, Mission, and Values as a company, and to the work we
do every day.
Sincerely,
Being a good corporate citizen also means conducting our
business thoughtfully and ethically, with a concern for the impact
we have on society at large. AIG was the frst U.S.-based insurer to
adopt a public statement on climate change. In this report, you can read how we continue to forge ahead on sustainability, whether Peter D. Hancock
President and Chief Executive Officer",N. America,23/09/2025 21:54:43
AIG,2016,"We believe it's our responsibility to be a
good corporate citizen, to be ethical in
how we operate our business and always
try to do the right thing
Dear colleagues,
We're privileged to work in an industry that restores lives,
and helps people and businesses to grow and succeed.
We get to make the world work better. That's what I love
about my job.
We believe it's our responsibility to be a good corporate
citizen, to be ethical in how we operate our business and
always try to do the right thing.
In this Global Citizenship Update, you'll find great
examples of AlG's corporate citizenship in areas like
sustainability, employee involvement and corporate
giving.
One of the initiatives that I am personally connected with
is Blue Marble Microinsurance, which is an effort by eight
insurers and reinsurers to create a market to make reliable,
affordable insurance available to the underserved. There
are billions of people who could get an incredible lift
socially and economically by having insurance. I'm proud
that AIG is a founding member.
You will also see the many ways our employees get
involved. AIG has more than 90 Employee Resource
Groups with some 12,000 members who every day help
to reinforce our belief that exclusion has no place in our
company.
4 / C
LEADERSHIP
Brian Duperreault
AIG President and Chief Executive Officer
Our people are also generous with their money and time.
Our Matching Grants Program donated more than $6
million in employee gift matches last year, on top of
corporate contributions to over 550 organizations in over
30 countries. Colleagues also made good use of AIG's
Volunteer Time Off program to volunteer for causes that
matter to them. During Global Volunteer Month alone last
year, we contributed 13,000 volunteer hours on nearly
120 projects in more than 20 countries.
Thanks for getting involved - we all succeed when our
communities are strong.
Sincerely,
Brian Duperreault
AIG President and CEO",N. America,23/09/2025 21:55:47
AIG,2017,"In difficult times, you learn a lot about each other.
In 2017 – a record-breaking year for catastrophes – I witnessed firsthand the strength, generosity, tenacity,
courage, and kindness that reside in the DNA of AIG’s people.
One of the things I love most about my job is that as an insurance company, our work makes a difference
in the lives of our clients every day. Through this, along with our commitment to being a good corporate
citizen, we aim to step up and do the right thing whenever and wherever we can for those in need.
In this Corporate Citizenship Report, we are pleased to share stories about how we show up as a company
for our clients, our communities and each other.
You’ll read about how AIG employees donated generously toward disaster relief and other causes last
year, raising nearly $6.5 million in employee gift matches through our 2:1 Matching Grants Program.
This was in addition to approximately $11.7 million in corporate contributions to nearly 600 organizations
in 30 countries across the globe.
Our people also donated something priceless: their time. In 2017, AIG colleagues dedicated over 54,000
hours to causes that were meaningful to them. During our annual Global Volunteer Month in April alone,
nearly 3,400 AIG employees contributed over 10,000 hours to more than 150 projects in 25 countries.
Thousands of AIG employees supported our global partners – including Rise Against Hunger, which
distributes meals to those in need internationally, and to Junior Achievement, which teaches financial
literacy and entrepreneurship to young people.
We also made a positive impact through our more than 100 Employee Resource Groups (ERGs)
worldwide, whose 12,000 members help us celebrate the diversity of our workforce. That respect for
our differences is ultimately carried home to the communities where we live and work, promoting greater
acceptance and open-mindedness globally.
I’m so proud of our colleagues worldwide who give of themselves toward a greater good. I believe that the
best hope for building a brighter tomorrow can be found in our actions today.
Sincerely,
Brian Duperreault, President and CEO",N. America,23/09/2025 21:56:28
AIG,2018,"
AIG has a legacy of leadership in sustainability, which we believe is integral to our long-
term success as an insurer, investor, employer and corporate citizen. From supporting
low carbon renewable energy projects to providing insurance to the underserved and
promoting paperless processes, we are engaged in a variety of sustainability efforts
across our global footprint.
AIG supports the scientific consensus that climate change is a reality of increasing
global concern. In 2006, AIG was one of the first U.S.-based insurers to formally
recognize anthropogenic climate change, indicated by higher concentrations of
greenhouse gases, a warming atmosphere and ocean, diminished snow and ice,
and rising sea levels.
As the effects of climate change accelerate, they have the potential to impact both the
frequency and severity of extreme weather conditions. These and other climate-related
risks present opportunities and challenges for the insurance sector with implications
for insurers’ underwriting, risk capacity, financial reserving, investing, risk modeling
and own operations.
In response, AIG consistently employs its expertise in underwriting and risk
management to help address the impacts of climate change on our clients, our
business and on our stakeholders. For example, we continually assess changes in
climate and weather patterns as part of our General Insurance underwriting process.
Our General Insurance business continues to identify, adapt, and respond to the
developing risk exposures attributed to climate change. AIG is committed to providing
insurance products and services to help our clients be proactive against the risks
associated with climate change.
As part of our commitment, AIG established a Sustainability Task Force (Task Force)
with a mandate to develop recommendations for a corporate sustainability strategy.
The Task Force consists of a cross-functional group of AIG employees, including
AIG’s Executive Vice President and Chief Risk Officer (CRO) and Executive Vice President
and Vice Chair, AIG Life Holdings, Inc., who both serve as executive sponsors.
To contribute to this important dialogue and meet stakeholder expectations, we are
pleased to present our inaugural climate risk disclosure report, aligned to the Task
Force on Climate-related Financial Disclosures (TCFD) framework. It summarizes
how we incorporate climate-related risks and opportunities into our governance,
strategy and risk management approaches, as well as the metrics and targets we use
to track performance.
We look forward to engaging and working with our stakeholders on this important
effort and welcome your feedback along the way.
Jennifer Waldner
AIG Chief Sustainability Officer",N. America,23/09/2025 21:57:36
AIG,2019,"As a leading global provider of insurance and financial services, AIG has a unique vantage from which to see the efects of climate change,
most notably in the increasing frequency and severity of natural catastrophes—such as hurricanes, tropical cyclones and wildfires.i
While the COVID-19 crisis is beyond the scope of this report, we have already seen the unintended consequence that widespread
restrictions to travel, business and activity have had by significantly reducing global emissions in a short span of time.ii
However, the path to a low-carbon economy cannot be sustained by these temporary measures. We acknowledge the impact that
climate change has on our business and global communities, and we remain committed to playing a role in addressing these challenges.
To that end, AIG has developed a sustainability agenda intended to help future-proof our communities—a unified sustainability
approach that supports our business strategy and addresses expectations from many of our key stakeholders including investors,
regulators, clients and employees.
Combating climate change is at the top of that agenda, as climate-related risks already present significant challenges to insurance
companies. AIG is well-positioned to leverage its strength and risk expertise to help mitigate greenhouse gas emissions and guide our
clients through the risks and opportunities posed by climate change.
We are also focusing our eforts on building resilience against the impacts from climate change itself. For example, through our risk
modeling expertise and resilient solutions initiative with Wood Plc, we see an opportunity to help strengthen communities. And as a
founding member of the microinsurance consortium Blue Marble, we help provide commercially viable insurance protection to the
underserved in parts of the world that are especially vulnerable to the financial impacts of climate risk.
We recognize that the world needs to embrace sustainable energy solutions, but also that such a transition cannot be done overnight.
That is why we use our risk expertise to help our clients and partners navigate their “green transition” in a safe and minimally
disruptive manner.
We remain committed to reducing our global carbon footprint, and in 2019 we achieved and exceeded two emission reduction
targets for our UK and New York City operations through our participation in the UK Carbon Reduction Commitment and NYC Carbon
Challenge. We also expanded the organizational and operational boundaries of our greenhouse gas emissions measurement and
reporting to include direct and indirect sources of emissions for AIG globally. Having a clear understanding of our emissions sources is
the foundation that will allow us to set measurable targets to reduce our own emissions.
To ensure that all parts of our company feel invested in and accountable for AIG’s sustainability agenda, we created a Sustainability
Integration Team to identify and drive broader sustainability initiatives across the company. We also created a cross-functional,
CEO-backed Climate Change Working Group to develop a road map for how AIG will address climate change across our insurance
businesses, investments, operations and external partnerships. And finally, on Earth Day, April 22, we launched our Employee
Sustainability Network, which provides an opportunity for all AIG employees to get involved in sustainability activities on a more local,
grassroots level.
We are pleased to share our 2019 climate risk disclosure report, aligned to the Task Force on Climate-related Financial Disclosures
(TCFD) framework, which builds upon our inaugural report published last year. It summarizes how we incorporate climate-related
risks and opportunities into our governance, strategy and risk management approaches, as well as the metrics and targets we use to
track performance.
As AIG’s sustainability journey evolves, we look forward to continuing the dialogue with and receiving feedback from our stakeholders
as we help to build a more sustainable, resilient and secure future.
Jennifer Waldner Grant
AIG Chief Sustainability Oficer",N. America,23/09/2025 21:58:11
AIG,2020,"I am pleased to share with you AIG’s first-ever Environmental, Social, and Governance (ESG) Report. AIG is
publishing this ESG Report because we are committed to transparency with our stakeholders about issues
that involve and impact all of us.
AIG strives to be a top performing and results-oriented company – in everything we do.
We pursue excellence in our financial and operating performance, in how our colleagues serve our
clients and distribution partners, in our performance as evaluators and underwriters of risk, and in our
performance as an agent of change in helping the world navigate climate and other similar challenges.
We believe this report is another important step forward for AIG.
Exceptional Global Corporate Citizenship
Our commitment to transparent ESG leadership is a central part of our global corporate citizenship
agenda. Documenting our progress through this ESG Report creates a mechanism to share our
perspectives and a way to measure our progress.
With more than 40,000 colleagues conducting business in approximately 80 countries, being an agent of
change is an important responsibility in a complex and dynamically changing world.
Our global communities are in various stages of recovering from a pandemic that drastically altered
economies and everyday ways of life. Racial and social injustices continue to plague our societies as we
strive for safety, fairness, advancement, and equity. And, climate instability looms as an ever-present
danger for future generations.
A safer, cleaner, healthier, more equitable, and prosperous future requires a commitment to exceptional
global corporate citizenship from AIG and the entire business community.
A Company of Action
Leading change in a changing world requires being a company of action.
For example, we believe that insurance companies, like AIG, can be a catalyst for positive change as it
relates to sustainability advancements, renewable energy expansion, improved equity for all people, and
more. We plan to continue to invest in education and guidance toward logical and sensible paths forward
for the clients and industries we serve.
We have these conversations with our clients and distribution partners every day to solve complex
risk issues.
Our objective is to provide our clients with confidence and the assurances they require to press into their
unique futures knowing they have protection from the unknown, unwanted, and unexpected in this
rapidly changing world. We leverage our knowledge and expertise of risk and risk mitigation to assist our
clients, distribution partners, and other stakeholders as they develop transition plans to operate more
sustainably in the future.
Making Steady Progress
Overall, I am pleased with the actions AIG has taken and the transparent, steady progress we are making in
our ESG efforts; however, our work is far from complete.
At the company level, we have taken deliberate steps to study climate change and the role AIG can play
in alleviating the pressure being put on our planet. We recently committed to reducing our operational
carbon emissions to net zero by 2050 and we are undertaking a thorough carbon exposure assessment of
our investment and underwriting portfolios to guide our climate strategy and ambitions going forward.
With regard to Diversity, Equity, and Inclusion, AIG submitted its EEO-1 report to the Equal Employment
Opportunity Commission and voluntarily posted the report to our website. We also voluntarily disclosed
gender, racial, and other characteristics of members of our Board of Directors in this year’s proxy
statement – one of a few public companies to do so.
These steps are examples of us fulfilling our commitment to lead the insurance industry in transparency
with respect to our Sustainability and Diversity, Equity, and Inclusion efforts. I am more confident than
ever that we are moving in the right direction on this important journey – generating results that will
create value for our stakeholders.
I hope you enjoy reading our first ESG Report and learning more about the actions we’ve taken to generate
positive and meaningful outcomes – with much more yet to come.
Peter Zaffino
President & Chief Executive Officer
American International Group, Inc.",N. America,23/09/2025 21:59:34
AIG,2021,"Dear Stakeholders:
AIG is pleased to publish this 2021 Environmental,
Social and Governance (ESG) Report — our second
annual update detailing AIG’s journey to deliver
excellence in everything we do — including with
respect to ESG and related initiatives.
The theme of our 2021 ESG Report is: Reimagining
What AIG Can Do, which is the framework and
a key component of our new Purpose & Values
Statement. Reimagining What AIG Can Do is at the
core of what and how we deliver for our colleagues,
clients, distribution partners, shareholders,
communities and many other stakeholders. Most
importantly, we are reimagining how to leverage
AIG’s expertise and differentiators in ways that
improve and sustain communities for generations
to come.
Our Purpose Statement also includes Discovering
New Potential and is fortified by five Values,
which set clear expectations for what it means
to work at AIG and the behaviors required to
drive change on our journey to become a top
performing company. These Values are authentic
to AIG — p rinciples that amplify our strengths
and that can be integrated into day-to-day
activities, attitudes and processes.
Our Values must be embedded in the collective
decisions we make each day, and it is the
consistency of those decisions and the actions
we take that will allow us to dramatically reimagine
what AIG can do for all our stakeholders. These
Values are:
Take Ownership
AIG believes a transparent journey toward
outlining our ESG goals is a requirement. Our
2021 ESG Report marks the fourth consecutive
year that we meet the TCFD standards on our
ESG disclosures. Starting last year, we made our
EEO-1 report fully available and have provided
even more disclosure about our workforce in this
year’s Report. Our high standard of transparency
reinforces our commitment to take ownership
when it comes to environmental standards, DEI
goals and governance.
Set the Standard
We recently made a commitment to achieve
Net Zero greenhouse gas (GHG) emissions
across our global underwriting and investment
portfolios by 2050, or sooner. This new
commitment complements our previously
announced commitment to achieve Net Zero
GHG emissions in our operations by 2050,
or sooner.
Win Together
AIG has delivered strong operational and
financial performance by focusing on the power
of working as a team. The same approach will
drive our ESG strategy. While there is more work
to be done, we have demonstrated that AIG is a
company that can execute on multiple complex
priorities under any conditions.
Be an Ally
In the Report, you will see many examples of how
we serve as allies, particularly with respect to
our colleagues. In addition, our commitment
to gender equity and gender pay equity has never
been stronger. Our title sponsorship of the AIG
Women’s Open, and the action we took in 2021,
in partnership with The R&A, increased the purse
and set a new benchmark for prize money in
women’s golf — representing tangible proof of our
belief that supporting women in business, sports,
and society more broadly, is a critical component
of our success.
Do What’s Right
As a global risk management organization, we
are consistently working with individuals and
businesses to help them manage their most
challenging risks. Just as we serve our external
stakeholders, we also give our colleagues the
tools they need to serve their communities and
each other through Matching Grants Programs,
paid Volunteer Time Off, the AIG Compassionate
Colleagues Fund and other philanthropic
programs designed to help our colleagues give
back and do what’s right.
Guided by AIG’s Purpose and Values, our ESG
goals are clearly linked to our overall business
strategy as we strive to be a top performing
company and global market leader.
This is the AIG we are reimagining for today and
the future.
Sincerely,
Peter Zaffino
Chairman & Chief Executive Officer
American International Group, Inc. (AIG)",N. America,23/09/2025 22:01:39
AIG,2022,NA,N. America,23/09/2025 22:02:44
AIG,2023,NA,N. America,23/09/2025 22:02:54
AXA,2012,NA,Europe,27/09/2025 18:24:14
